79,현대건설,"59,500","1,100",-1.82%,"5,000","66,257","111,356",24.20,"420,609",-25.76,-2.09,
80,LG씨엔에스,"67,700","2,000",+3.04%,500,"65,592","96,886",6.47,"218,083",15.27,18.32,
81,한화,"85,700",500,+0.59%,"5,000","64,240","74,959",16.79,"207,730",7.12,7.19,
82,삼성증권,"67,600",400,-0.59%,"5,000","60,367","89,300",28.52,"44,846",6.75,12.89,
83,현대차2우B,"171,800",100,+0.06%,"5,000","60,068","34,964",59.95,"35,430",4.05,N/A,
84,삼성카드,"51,400",800,+1.58%,"5,000","59,551","115,859",6.02,"30,192",8.87,8.00,
85,LG유플러스,"13,690",750,-5.19%,"5,000","58,844","429,828",39.40,"1,235,865",12.85,4.40,
86,LG디스플레이,"11,650",10,-0.09%,"5,000","58,250","500,000",23.74,"361,847",-8.69,-37.21,
87,삼성E&A,"28,600",600,-2.05%,"5,000","56,056","196,000",46.17,"352,148",9.82,19.65,
88,LS,"173,200","2,800",-1.59%,"5,000","55,770","32,200",15.20,"74,095",27.38,5.09,
89,맥쿼리인프라,"11,620",20,+0.17%,0,"55,651","478,922",9.13,"283,308",N/A,N/A,
90,TIGER 미국나스닥100,"144,415",55,+0.04%,0,"55,412","38,370",0.07,"133,420",N/A,N/A,
91,키움증권,"199,900",600,-0.30%,"5,000","52,325","26,176",28.45,"23,209",6.20,15.98,
92,KODEX 미국S&P500,"20,490",10,+0.05%,0,"51,286","250,300",0.10,"2,136,631",N/A,N/A,
93,넷마블,"58,700",300,-0.51%,100,"50,455","85,954",28.01,"39,214",54.55,0.49,
94,두산밥캣,"52,600",300,+0.57%,500,"50,420","95,856",34.01,"53,035",12.26,8.77,
95,한국타이어앤테크놀로지,"40,050",300,-0.74%,500,"49,612","123,875",34.43,"136,995",5.26,10.79,
96,이수페타시스,"65,600",900,+1.39%,"1,000","48,156","73,409",25.49,"573,963",42.65,24.92,
97,한화솔루션,"27,900",400,+1.45%,"5,000","47,958","171,893",11.30,"406,194",-5.90,-15.99,
98,CJ,"161,900",800,+0.50%,"5,000","47,238","29,177",11.93,"49,820",78.25,1.83,
99,TIGER CD금리투자KIS(합성),"56,475",5,+0.01%,0,"46,081","81,596",0.03,"76,345",N/A,N/A,
100,BNK금융지주,"14,550",30,-0.21%,"5,000","45,749","314,425",39.71,"341,173",7.23,6.96,
101,JB금융지주,"23,750",100,+0.42%,"5,000","45,406","191,183",34.97,"175,442",6.94,12.80,
102,현대오토에버,"165,400","4,900",-2.88%,500,"45,359","27,424",2.83,"50,119",26.43,10.40,
103,LG생활건강,"293,000",500,+0.17%,"5,000","44,836","15,302",27.85,"15,285",44.92,3.44,
104,오리온,"107,200","1,000",-0.92%,500,"42,383","39,536",31.97,"41,336",8.04,16.57,
105,현대제철,"31,400",350,-1.10%,"5,000","41,902","133,446",21.39,"126,292",-73.54,-0.06,
106,GS,"44,850",600,-1.32%,"5,000","41,673","92,915",15.59,"76,373",17.09,4.12,
107,엔씨소프트,"190,600","2,600",-1.35%,500,"41,063","21,544",32.38,"46,185",-131.72,2.99,
108,KODEX KOFR금리액티브(합성),"110,660",10,+0.01%,0,"40,645","36,730",0.00,"183,785",N/A,N/A,
109,LG이노텍,"167,200","4,700",+2.89%,"5,000","39,571","23,667",23.30,"103,459",13.70,8.92,
110,한미약품,"308,500","4,500",+1.48%,"2,500","39,522","12,811",13.40,"30,906",36.81,11.89,
111,두산로보틱스,"60,600",800,-1.30%,500,"39,281","64,820",3.36,"163,659",-70.14,-8.69,
112,현대차우,"167,400",500,+0.30%,"5,000","39,073","23,341",57.91,"56,811",3.94,N/A,
113,강원랜드,"17,880",80,-0.45%,500,"38,253","213,940",14.20,"241,027",11.23,12.09,
114,한화엔진,"45,400",350,-0.77%,"1,000","37,885","83,447",17.69,"3,999,357",41.65,25.64,
115,SK바이오사이언스,"46,600",250,+0.54%,500,"36,520","78,369",6.13,"29,732",-68.93,-3.07,
116,한국가스공사,"39,050",0,0.00%,"5,000","36,048","92,313",9.94,"91,586",3.83,11.21,
117,KODEX 종합채권(AA-이상)액티브,"118,885",45,-0.04%,0,"35,940","30,231",0.00,"14,435",N/A,N/A,
118,KCC,"391,500","3,500",-0.89%,"5,000","34,791","8,886",10.43,"5,507",4.30,6.08,
119,CJ제일제당,"230,000","1,000",+0.44%,"5,000","34,625","15,054",17.67,"23,848",28.04,1.97,
120,에코프로머티,"49,175",75,+0.15%,500,"34,389","69,932",21.22,"127,042",-46.83,-5.56,
121,한전기술,"89,900",0,0.00%,200,"34,360","38,220",10.69,"98,828",34.59,10.40,
122,SKC,"90,200",100,+0.11%,"5,000","34,157","37,868",12.11,"61,582",-8.49,-34.34,
